Classification	RDP	UTAX	SINTAX	Consensus
Fungi	42430	42430	42430	42430
Aphelidiomycota	0	7	1	7
Ascomycota	20260	27646	18100	28178
Basidiomycota	8529	12324	9797	12456
Calcarisporiellomycota	0	3	0	3
Chytridiomycota	12	289	107	287
Entomophthoromycota	0	7	0	7
Glomeromycota	132	294	228	293
Kickxellomycota	0	3	3	3
Monoblepharomycota	0	12	4	12
Mortierellomycota	0	182	100	125
Mucoromycota	0	19	8	19
Neocallimastigomycota	0	1	0	1
Olpidiomycota	0	28	9	28
Rozellomycota	0	38	8	38
Unidentified	13336	1572	14063	904
Zoopagomycota	0	5	2	5
Zygomycota	161	0	0	64
Agaricomycetes	0	9770	8017	9376
Agaricomycotina	7205	0	0	1243
Agaricostilbomycetes	0	51	16	33
Aphelidiomycetes	0	7	1	7
Archaeorhizomycetes	0	16	10	16
Archaeosporomycetes	0	9	8	9
Arthoniomycetes	0	5	1	3
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Atractiellomycetes	0	1	0	1
Basidiobolomycetes	0	4	0	4
Calcarisporiellomycetes	0	3	0	3
Chytridiomycetes	0	29	3	28
Chytridiomycota_incertae sedis	12	0	0	0
Chytridiomycota_incertae_sedis	0	0	0	4
Cladochytriomycetes	0	1	0	1
Coniocybomycetes	0	1	0	1
Cystobasidiomycetes	0	29	3	7
Dacrymycetes	0	11	1	10
Dothideomycetes	0	6786	2407	4325
Endogonomycetes	0	7	1	7
Entomophthoromycetes	0	3	0	3
Eurotiomycetes	0	1072	586	694
Exobasidiomycetes	0	7	2	7
Geminibasidiomycetes	0	2	2	2
Geoglossomycetes	0	17	9	14
Glomeromycetes	0	254	105	194
Glomeromycota_incertae sedis	132	0	0	0
Glomeromycota_incertae_sedis	0	0	0	67
Gs04	0	1	0	1
Gs05	0	6	0	6
Gs06	0	1	0	1
Gs10	0	1	0	1
Gs11	0	1	0	1
Gs14	0	1	1	1
Gs27	0	4	0	4
Gs37	0	2	1	2
Hyaloraphidiomycetes	0	1	0	1
Kickxellomycetes	0	3	3	3
Kickxellomycotina	3	0	0	0
Lecanoromycetes	0	155	52	125
Leotiomycetes	0	10951	3841	6506
Lichinomycetes	0	1	0	0
Lobulomycetes	0	2	0	2
Malasseziomycetes	0	66	6	6
Microbotryomycetes	0	140	45	66
Monoblepharidomycetes	0	11	4	11
Mortierellomycetes	0	182	100	122
Mucoromycetes	0	10	6	10
Mucoromycotina	158	0	0	67
Neocallimastigomycetes	0	1	0	1
Olpidiomycetes	0	28	9	28
Orbiliomycetes	0	110	48	108
Paraglomeromycetes	0	2	2	2
Pezizomycetes	0	111	59	91
Pezizomycotina	19345	0	0	10327
Pucciniomycetes	0	25	15	22
Pucciniomycotina	221	0	0	144
Rhizophlyctidomycetes	0	10	4	10
Rhizophydiomycetes	0	38	8	38
Saccharomycetes	0	287	267	283
Saccharomycotina	267	0	0	5
Sordariomycetes	0	7167	4105	5100
Spiculogloeomycetes	0	15	0	13
Spizellomycetes	0	97	31	93
Taphrinomycetes	0	14	3	7
Taphrinomycotina	11	0	0	10
Tremellomycetes	0	1576	629	831
Umbelopsidomycetes	0	2	1	2
Unidentified	14497	2781	21598	1714
Ustilaginomycetes	0	534	417	421
Ustilaginomycotina	578	0	0	176
Xylonomycetes	0	3	1	3
Zoopagomycetes	0	5	2	5
Acarosporales	0	19	7	15
Acrospermales	0	5	2	5
Agaricales	0	6701	4326	5363
Agaricomycetes	5675	0	0	1637
Agaricostilbales	0	50	15	37
Agaricostilbomycetes	29	0	0	14
Amylocorticiales	0	1	1	1
Annulatascales	0	1	0	1
Archaeorhizomycetales	0	15	8	15
Archaeosporales	0	9	8	9
Arthoniales	0	2	0	1
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Atheliales	0	49	27	35
Atractiellales	0	1	0	1
Auriculariales	0	63	19	59
Basidiobolales	0	4	0	4
Boletales	0	194	21	40
Boliniales	0	104	1	104
Botryosphaeriales	0	19	2	18
Calcarisporiellales	0	3	0	3
Caliciales	0	10	1	8
Calosphaeriales	0	2	0	2
Candelariales	0	1	1	1
Cantharellales	0	114	49	76
Capnodiales	0	504	46	271
Chaetosphaeriales	0	25	3	25
Chaetothyriales	0	859	506	708
Chrysozymaceae	0	27	0	2
Chytridiales	0	12	0	12
Chytridiomycetes	12	0	0	4
Cladochytriales	0	1	0	1
Colacogloea	0	3	0	1
Coniochaetales	0	650	171	565
Coniocybales	0	1	0	1
Corticiales	0	33	8	31
Coryneliales	0	3	0	3
Curvibasidium	0	21	0	2
Cyphobasidiales	0	1	0	1
Cystobasidiales	0	7	2	5
Cystobasidiomycetes	2	0	0	2
Cystofilobasidiales	0	579	469	517
