Isolate,MorphotypeNo,Date_Subculture,Site,Species,Trt,Date_Original,DescriptionTop,DescriptionBottom,Notes,Subcultured,Clustered_morphotype,Archived,New_Notes,DNA,Extraction.plate.NOT.GENEWIZ.PLATES,To_do,Status,Updated_morph,X,OTU,Newest_morph
262,95,20-Jul-17,WM-9,POPR-6,Control,14-Jul-17,reddish core,,I think the gray fungus next to it was sampled.,Yes,1,Archived,,,,,Send,206,,16,16
394,148,21-Jul-17,WM-7,POPR-5,Control,14-Jul-17,opaque,,,Yes,1,Archived,,Sequenced,4,find_3,Done,209,,16,16
1627,95,,WM-9,POPR-6,Control,,,,,No,1,NA,,NA,,,,206,,NA,16
328,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,Retry Jan 9th,NA,16
329,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,16
330,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,16
332,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,16
333,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,16
656,117,,WM-10,ACLE-3,Warming,,,,,No,1,NA,,NA,,,,210,,NA,16
665,117,,WM-10,ACLE-3,Warming,,,,,No,1,NA,,NA,,,,210,,NA,16
331,117,,WM-10,ACLE-3,Warming,14-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,16
327,117,20-Jul-17,WM-10,ACLE-3,Warming,14-Jul-17,"black center, white radial",,,Yes,1,Find,,NA,,find_2,,210,,NA,16
391,148,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,1,NA,,NA,,,Done,209,,NA,16
392,148,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,1,NA,,NA,,,Done,209,retry Jan 22,NA,16
1137,148,,WM-7,POPR-5,Control,,,,,No,1,NA,,NA,,,,209,,NA,16
1210,148,,TR-L,ACLE,ELEV,,,,,No,1,NA,,NA,,,,209,,NA,16
1211,148,,TR-L,ACLE,ELEV,,,,,No,1,NA,,NA,,,,209,,NA,16
393,148,,WM-8,POPR-2,Warming,14-Jul-17,,,,No,1,NA,,NA,,,Done,209,,NA,16
438,177,21-Jul-17,WM-4,FETH-2,Warming,17-Jul-17,opaque,,,Yes,1,Archived,,Sequenced,4,find_4,,210,,29,29
439,177,,WM-4,FETH-2,Warming,17-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,29
440,177,,WM-4,FETH-2,Warming,17-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,29
1404,177,,WM-5,FETH-6,Control,,,,,No,1,NA,,NA,,,,210,,NA,29
1405,177,,WM-5,FETH-6,Control,,,,,No,1,NA,,NA,,,,210,,NA,29
1407,177,,WM-5,FETH-6,Control,,,,,No,1,NA,,NA,,,,210,,NA,29
441,177,,WM-4,FETH-2,Warming,17-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,29
1406,177,,WM-5,FETH-6,Control,,,,,No,1,NA,,NA,,,,210,Shipped in Plate 4,NA,29
69,35,18-Jul-17,ER-H,ACLE,ELEV,13-Jul-17,"opaque, rosy tinge",,,Yes,1,Archived,,Sequenced,,,,206,Shipped in Plate 4,57,57
66,35,,ER-H,POPR,ELEV,13-Jul-17,,,,No,1,NA,,NA,,,,206,needs to be look at and splitted,NA,57
67,35,,ER-H,POPR,ELEV,13-Jul-17,,,,No,1,NA,,NA,,,,206,,NA,57
68,35,,ER-H,POPR,ELEV,13-Jul-17,,,,No,1,NA,,NA,,,,206,extracted jan26,NA,57
971,35,,ER-H,ACLE,ELEV,,,,,No,1,NA,,NA,,,,206,,NA,57
399,152,21-Jul-17,WM-7,POPR-6,Control,14-Jul-17,"opaque, black center",,,Yes,1,Find,,Sequenced,Tube,find_4,Send,206,retry Jan 22,61,61
1231,534,29-Jul-17,TR-L,POPR,ELEV,,dark brown to black. Spotted,,,Yes,1,Find,ITS1-FL in SP Plate 3,Sequenced,3,,,210,shipped in Plate 4,61,61
1216,29,,WG-L,ACNE,ELEV,,,,,No,1,NA,,NA,,,,210,,NA,
48,29,,WG-L,ACNE,ELEV,11-Jul-17,,,,No,1,NA,,NA,,,,210,,NA,
49,29,18-Jul-17,WG-L,ACNE,ELEV,11-Jul-17,opaque,opaque,,Yes,1,Archived,,NA,,find_4,,210,,NA,Extract
451,182,21-Jul-17,WG-H,POLE,ELEV,11-Jul-17,brown,,,Yes,1,Archived,,DNA failed,Tube,,,208,Retry Jan22,NA,Extract
468,193,22-Jul-17,TR-L,FETH,ELEV,17-Jul-17,"yellowy tint, opaque",,,Yes,1,Archived,,PCR,4,find_3,Send,210,,NA,
522,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,,NA,
523,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,,NA,
524,222,,WM-5,FETH-1,Control,,,,,No,1,NA,,NA,,,,,,NA,
1517,222,,WM-4,FETH-2,Warming,,,,,No,1,NA,,NA,,,,,,NA,
1518,222,,WM-4,FETH-2,Warming,,,,,No,1,NA,,NA,,,,,,NA,
1520,222,,WM-4,FETH-2,Warming,,,,,No,1,NA,,NA,,,,,,NA,
