Isolate	Extra_name_info	Clustered_Morphotype	OTU_Clustering	Phylum	Class	Order	Family	Genus	Species
1				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
3	now	plate4		Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma neokoningii
11				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
15				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
16				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
18				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
22				Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
26				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
27				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
28				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
44				Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
47	second			Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Fusarium	Fusarium solani
47				Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma stellatum
51	ITS			Ascomycota	Dothideomycetes	Dothideomycetes_incertae_sedis	Dothideomycetes_incertae_sedis	Asteromella	NA
56				Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma stellatum
60				Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella globulifera
62				Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella globulifera
69				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
70				Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
77	second			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
81				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
91				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
95	ITS			Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Phyllosticta	NA
98				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
104				Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA
107				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
110				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
115				Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Neottiosporina	NA
131				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
134				Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
139	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
144				Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	NA	NA
147				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
150				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
163				Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
168				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudensiforme
171				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
172				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
181				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
188				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Phyllactinia	NA
195				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
213				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
218				Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
220				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
222				Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe columnaris
233				Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Leveillula	Leveillula elaeagni
242				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
243				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
245				Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
247	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
260				Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botryotinia	Botrytis caroliniana
262				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
263				Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascus	NA
272				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
280				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
281				Mortierellomycota	Zygomycota_incertae_sedis	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata
289				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
297				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
298				Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tricladium	Bambusaria bambusae
311				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
312				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
317				Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA
335	ITS			Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA
341				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
364				Mortierellomycota	Zygomycota_incertae_sedis	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata
368				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
384	ITS			Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium kurunegalense
394				Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA
399				Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
403				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
404				Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Keissleriella	NA
411	ITS			Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
415	ITS			Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	NA
420	ITS			Ascomycota	Sordariomycetes	NA	NA	NA	NA
430				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium mahasenii
438				Ascomycota	Sordariomycetes	Diaporthales	NA	NA	NA
442				Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium mahasenii
